subjectid,targetId,angleTarget,view1,figure1,angle1,angleProbe,img1Txt,stimulus,resp,rt,block,T1Onset,probeOnset,adjustOnset,adjustHistory_1,adjustHistory_2,adjustHistory_3,adjustHistory_4,adjustHistory_5,adjustHistory_6,adjustHistory_7,adjustHistory_8,adjustHistory_9,adjustHistory_10,adjustHistory_11,adjustHistory_12,adjustHistory_13,adjustHistory_14,adjustHistory_15,adjustHistory_16,adjustHistory_17,adjustHistory_18,adjustHistory_19,adjustHistory_20,adjustHistory_21,adjustHistory_22,adjustHistory_23,adjustHistory_24,adjustHistory_25,adjustHistory_26,adjustHistory_27,adjustHistory_28,adjustHistory_29,adjustHistory_30,adjustHistory_31,adjustHistory_32,adjustHistory_33,adjustHistory_34,Error
5,2,35,2,Fe,35,27,32,Body,41,1.4501688000164,1,4.34773079998558,8.36409329998423,9.06649339999421,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,,,,,,6
5,1,30,1,Fe,30,45,21,Body,40,2.66832409999915,1,11.0310667000012,15.0304553000024,16.0824462999881,45,46,47,48,49,50,49,48,47,46,45,44,43,42,41,40,,,,,,,,,,,,,,,,,,,10
5,1,55,2,Ma,55,65,154,Body,56,3.23445039999206,1,18.9136892999813,22.9139517000003,23.8819001000084,65,64,63,62,61,60,59,58,57,56,55,54,53,54,55,56,,,,,,,,,,,,,,,,,,,1
5,2,55,1,Fe,55,30,71,Body,63,2.91859869999462,1,27.364386900008,31.3641628999903,32.1806708000076,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,8
5,1,40,1,Fe,40,52,41,Body,43,1.48484349998762,1,35.497277699993,39.4973408000078,40.2017118000076,52,51,50,49,48,47,46,45,44,43,,,,,,,,,,,,,,,,,,,,,,,,,3
5,2,35,2,Fe,35,27,32,Bar,41,2.36797399999341,2,46.0976772999857,50.1139991999953,50.7642119000084,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,,,,,,,,,,,,,,,,,,,,6
5,1,30,1,Fe,30,45,21,Bar,32,1.73285770000075,2,53.6974256999965,57.6977960999939,58.2143460999941,45,44,43,42,41,40,39,38,37,36,35,34,33,32,,,,,,,,,,,,,,,,,,,,,2
5,1,55,2,Ma,55,65,154,Bar,59,2.56682889998774,2,60.6470685999957,64.6468580999936,65.3478643999842,65,64,63,62,61,60,59,58,57,56,57,58,59,,,,,,,,,,,,,,,,,,,,,,4
5,2,55,1,Fe,55,30,71,Bar,56,2.98368790000677,2,68.4308260999969,72.4304497999838,73.1644786999968,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,,,,,,,,1
5,1,40,1,Fe,40,52,41,Bar,48,1.63337879997562,2,76.6302421999862,80.6641208000074,81.4307064999884,52,51,50,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
