subjectid,targetId,angleTarget,view1,figure1,angleProbe,stimulus,block,resp,rt,img1Txt,T1Onset,delayOnset,probeOnset,adjustHistory_1,adjustHistory_2,adjustHistory_3,adjustHistory_4,adjustHistory_5,adjustHistory_6,adjustHistory_7,adjustHistory_8,adjustHistory_9,adjustHistory_10,adjustHistory_11,adjustHistory_12,adjustHistory_13,adjustHistory_14,adjustHistory_15,adjustHistory_16,adjustHistory_17,adjustHistory_18,adjustHistory_19,adjustHistory_20,adjustHistory_21,adjustHistory_22,adjustHistory_23,adjustHistory_24,adjustHistory_25,adjustHistory_26,adjustHistory_27,adjustHistory_28,adjustHistory_29,adjustHistory_30,adjustHistory_31,adjustHistory_32,adjustHistory_33,adjustHistory_34,adjustHistory_35,adjustHistory_36,adjustHistory_37,adjustHistory_38,adjustHistory_39,adjustHistory_40,adjustHistory_41,adjustHistory_42,adjustHistory_43,adjustHistory_44,adjustHistory_45,adjustHistory_46,adjustOnset,Error
98,2,55,2, ,56,Bar,1,0,NaN,72,4.36136849992909,6.57591759995557,8.97484260005876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-55
98,1,50,1, ,61,Bar,1,61,2.21857879986055,61,17.1732672001235,19.3734353000764,21.7740943001118,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11
98,1,40,1, ,51,Bar,1,51,0.00315760006196797,41,25.1330115001183,27.3331166000571,29.733814700041,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11
98,1,40,2, ,43,Bar,1,0,NaN,42,30.742289399961,32.9426682000048,35.3427975000814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1995104.2860619,-40
98,2,40,2, ,39,Bar,1,39,2.36924520018511,42,43.519481500145,45.7198250999209,48.1202670999337,39,40,41,42,43,44,45,46,47,48,49,50,51,50,49,48,47,46,45,44,43,42,41,40,39,,,,,,,,,,,,,,,,,,,,,,49.3556979999412,-1
98,2,55,2,Fe,56,Body,2,65,1.73536369996145,72,54.6878239000216,56.8883078999352,59.2885622000322,56,57,58,59,60,61,62,63,64,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1995104.2860619,10
98,1,50,1,Ma,61,Body,2,43,3.26081979996525,143,62.2906913999468,64.4895842999686,66.8899761000648,61,62,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,68.1255330999848,-7
98,1,40,1,Ma,51,Body,2,65,3.81903210002929,123,71.4156649999786,73.6162336000707,76.0166968000121,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,65,65,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,76.9356221000198,25
98,1,40,2,Ma,43,Body,2,43,0.560315700015053,124,80.9673397999723,83.1678844999988,85.5682699999306,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
98,2,40,2,Fe,39,Body,2,39,0.701632099924609,42,87.3936378001235,89.5940116001293,91.9943727001082,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1
